,PAPER_ID,Year,Title,Keywords,Abstract,SR,cr_title,cr_doi,cr_author,cr_journal,cr_score,cr_scoreauthor
383,"CORDEIRO RTS, 2012, MARINE BIODIVERSITY RECORDS",2012,NEW RECORDS AND RANGE EXTENSIONS OF AZOOXANTHELLATE SCLERACTINIANS (CNIDARIA: ANTHOZOA) FROM BRAZIL,CARYOPHYLLIIDAE,  DEEP-WATER CORALS,  DENDROPHYLLIIDAE,New records and range extensions of azooxanthellate scleractinians (Cnidaria: Anthozoa) from Brazil,10.1017/s175526721200019x,Cordeiro,Marine Biodiversity Records,1,1
405,COSTA MBSF 2016 GEOMORPHOLOGY,2016,INFLUENCE OF REEF GEOMETRY ON WAVE ATTENUATION ON A BRAZILIAN CORAL REEF,COASTAL EROSION WAVE TRANSMISSION COASTAL REEF MORPHOLOGY SET-UP ENERGY SATURATION TRANSFORMATION BEACH FIELD GEOMORPHOLOGY BREAKING BROWARD HEIGHT FLATS,THIS STUDY PRESENTS DATA FROM FIELD EXPERIMENTS THAT FOCUS ON THE  INFLUENCE OF CORAL REEF GEOMETRY ON WAVE TRANSFORMATION IN THE  METROPOLITAN AREA OF RECIFE MAR ON THE NORTHEAST COAST OF BRAZIL.  FIRST A DETAILED BATHYMETRIC SURVEY WAS CONDUCTED REVEALING A  SUBMERGED REEF BANK MEASURING 18 KM LONG BY 1 KM WIDE PARALLEL TO THE  COASTLINE WITH A QUASI-HORIZONTAL TOP THAT VARIES FROM 0.5 M TO 4 M IN  DEPTH AT LOW TIDE. CLUSTER SIMILARITY BETWEEN 180 REEF PROFILES  INDICATES THAT IN 75\% OF THE AREA THE REEF GEOMETRY HAS A  CONFIGURATION SIMILAR TO A PLATFORM REEF WHEREAS IN 25\% OF THE AREA IT  RESEMBLES A FRINGING REEF. MEASUREMENTS OF WAVE PRESSURE FLUCTUATIONS  WERE MADE AT TWO STATIONS EXPERIMENTS E1 AND E2 ACROSS THE REEF  PROFILE. THE RESULTS INDICATE THAT WAVE HEIGHT WAS TIDALLY MODULATED AT  BOTH EXPERIMENTAL SITES. UP TO 67\% E1 AND 99.9\% E2 OF THE INCIDENT  WAVE HEIGHT IS ATTENUATED BY THE REEF TOP AT LOW TIDE. THIS TIDAL  MODULATION IS MOST APPARENT AT E2 DUE TO REEF GEOMETRY. AT THIS  LOCATION THE REEF TOP IS ONLY APPROXIMATELY 0.5 M DEEP DURING MEAN LOW  SPRING WATER AND ALMOST ALL INCIDENT WAVES BREAK ON THE OUTER REEF  EDGE. AT E1 THE REEF TOP DEPTH IS 4 M AND WAVES WITH HEIGHT RATIOS  SMALLER THAN THE CRITICAL BREAKING LIMIT ARE FREE TO PASS ONTO THE REEF  AND ARE PRIMARILY ATTENUATED BY BOTTOM FRICTION. THESE RESULTS HIGHLIGHT  THE IMPORTANCE OF REEF GEOMETRY IN CONTROLLING WAVE CHARACTERISTICS OF  THE MAR BEACHES AND DEMONSTRATE ITS EFFECT ON THE MORPHOLOGY OF THE  ADJACENT COAST. IMPLICATIONS OF DIFFERENCES IN WAVE ATTENUATION AND THE  LEVEL OF PROTECTION PROVIDED BY THE REEFS TO THE ADJACENT SHORELINE ARE  DISCUSSED. C 2015 ELSEVIER B.V. ALL RIGHTS RESERVED.,COSTA MBSF 2016 GEOMORPHOLOGY,Influence of reef geometry on wave attenuation on a Brazilian coral reef,10.1016/j.geomorph.2015.11.001,Costa,Geomorphology,1,1
423,CRISTIANO SC 2020 MAR POLL BULL,2020,Beach landscape management as a sustainable tourism resource in Fernando de Noronha Island (Brazil),Conservation units Coastal scenarios World natural heritage National heritage,"The Coastal Scenery Evaluation System was used to analyze the landscape of touristic beaches at the Fernando de Noronha Archipelago, using a checklist with 26 physical and human parameters. The beaches are divided into classes ranging from 1 (extremely attractive natural site) to 5 (unattractive urban areas). The data reflects the natural and anthropogenic characteristics of the coastal Noronha scenery, which have international relevance and are between classes 1-4. Class 3 and 4 beaches are associated with anthropogenic factors/parameters. Seasonal sedimentary stock variation has also contributed to the differences in classes between the seasons at some beaches. The results of this study are useful to create new perspectives for sustainable development based on the singularities of this touristic resource - the landscape. The Fernando de Noronha Archipelago depends on its landscapes for tourism. Therefore, government policies should seek the sustainable management of its beaches, so as to ensure the protection of natural and cultural resources.",,Beach landscape management as a sustainable tourism resource in Fernando de Noronha Island (Brazil),10.1016/j.marpolbul.2019.110621,Cristiano,Marine Pollution Bulletin,1,1
430,CRUZ ICS 2015 PLOS ONE,2015,EFFECT OF PHASE SHIFT FROM CORALS TO ZOANTHARIA ON REEF FISH ASSEMBLAGES,NA HABITAT COMPLEXITY COMMUNITY STRUCTURE DIVERSITY COMPETITION CNIDARIA PATTERNS MACROALGAE FISHERIES ABUNDANCE ANTHOZOA,CONSEQUENCES OF REEF PHASE SHIFTS ON FISH COMMUNITIES REMAIN POORLY  UNDERSTOOD. STUDIES ON THE CAUSES EFFECTS AND CONSEQUENCES OF PHASE  SHIFTS ON REEF FISH COMMUNITIES HAVE ONLY BEEN CONSIDERED FOR  CORAL-TO-MACROALGAE SHIFTS. THEREFORE THERE IS A LARGE INFORMATION GAP  REGARDING THE CONSEQUENCES OF NOVEL PHASE SHIFTS AND HOW THESE KINDS OF  PHASE SHIFTS IMPACT ON FISH ASSEMBLAGES. THIS STUDY AIMED TO COMPARE THE  FISH ASSEMBLAGES ON REEFS UNDER NORMAL CONDITIONS RELATIVELY HIGH COVER  OF CORALS TO THOSE WHICH HAVE SHIFTED TO A DOMINANCE OF THE ZOANTHARIAN  PALYTHOA CF. VARIABILIS ON CORAL REEFS IN TODOS OS SANTOS BAY TSB  BRAZILIAN EASTERN COAST. WE EXAMINED EIGHT REEFS WHERE WE ESTIMATED  COVER OF CORALS AND P. CF. VARIABILIS AND CORAL REEF FISH RICHNESS  ABUNDANCE AND BODY SIZE. FISH RICHNESS DIFFERED SIGNIFICANTLY BETWEEN  NORMAL REEFS 48 SPECIES AND PHASE-SHIFT REEFS 38 SPECIES A 20\%  REDUCTION IN SPECIES. HOWEVER THERE WAS NO DIFFERENCE IN FISH ABUNDANCE  BETWEEN NORMAL AND PHASE SHIFT REEFS. ONE FISH SPECIES CHAETODON  STRIATUS WAS SIGNIFICANTLY LESS ABUNDANT ON NORMAL REEFS. THE  DIFFERENCES IN FISH ASSEMBLAGES BETWEEN DIFFERENT REEF PHASES WAS DUE TO  DIFFERENCES IN TROPHIC GROUPS OF FISH ON NORMAL REEFS CARNIVOROUS  FISHES WERE MORE ABUNDANT WHILE ON PHASE SHIFT REEFS MOBILE  INVERTIVORES DOMINATED.,CRUZ ICS 2015 PLOS ONE,Effect of Phase Shift from Corals to Zoantharia on Reef Fish Assemblages,10.1371/journal.pone.0116944,Cruz,PLOS ONE,1,1
431,CRUZ ICS 2018 MAR POLLUT BULL,2018,MARGINAL CORAL REEFS SHOW HIGH SUSCEPTIBILITY TO PHASE SHIFT,REGIME SHIFT LARGE SCALE PHASE SHIFT GRADIENT MARGINAL CORAL REEFS SPATIAL-PATTERNS FISH ABUNDANCE REGIME SHIFTS STATES BRAZIL ECOSYSTEMS RICHNESS IMPACTS BAHIA,PHASE SHIFT RESULTING FROM CORAL REEF DEGRADATION HAS BEEN FREQUENTLY  RECORDED ON REEFS IN OPTIMAL CONDITIONS WHILE MARGINAL REEFS WERE  CONSIDERED MORE RESISTANT DUE TO FEW RECORDS. NOTING THE LACK OF  MARGINAL REEF PHASE SHIFT STUDIES WE QUANTITATIVELY ASSESSED THEIR  GEOGRAPHIC EXTENT IN THE SOUTHWEST ATLANTIC. USING METADATA AND A  CALCULATED PHASE SHIFT INDEX WE IDENTIFIED PHASE SHIFTS FROM CORALS TO  BOTH ZOANTHID AND MACROALGAL DOMINANCE. POSITIVE CORRELATIONS EXISTED  BETWEEN PHASE SHIFT AND LOCAL HUMAN IMPACTS FOR ZOANTHIDS PROXIMITY TO  HUMAN POPULATIONS > 100000 INHABITANTS URBANIZED SURFACES AND DREDGED  PORTS AND A NEGATIVE RELATIONSHIP TO THE ENDURANCE OF SST > 1 DEGREES C  ABOVE NORMAL. MACROALGAL SHIFTS POSITIVELY CORRELATED TO PORTS AND  URBANIZED SURFACES HIGHER LATITUDES AND SHORE PROXIMITY INDICATING A  POSSIBLE LINK TO NUTRIENT RUNOFF. THE HIGH FREQUENCY OF THESE PHASE  SHIFTS SUGGESTS GREATER DEGRADATION THAN REPORTED FOR CARIBBEAN REEFS  SUGGESTING THAT MARGINAL REEFS DO NOT HAVE HIGHER NATURAL RESISTANCE TO  HUMAN IMPACTS.,CRUZ ICS 2018 MAR POLLUT BULL,Marginal coral reefs show high susceptibility to phase shift,10.1016/j.marpolbul.2018.07.043,Cruz,Marine Pollution Bulletin,1,1
551,"DIAS RM, 2015, MARINE BIODIVERSITY RECORDS",2015,FIRST RECORD OF PREDATION ON JELLYFISH BY AN AGGREGATION OF FRENCH ANGELFISH POMACANTHUS PARU ON BRAZILIAN ROCKY REEFS,ATLANTIC SOUTH-EASTERN COAST,  BRAZILIAN ROCK REEFS,  CHRYSAORA LACTEA,First record of predation on jellyfish by an aggregation of French Angelfish Pomacanthus paru on Brazilian rocky reefs,10.1017/s1755267215000214,Dias,Marine Biodiversity Records,1,1
552,"DIAS RM, 2015, MARINE BIODIVERSITY RECORDS-a",2015,"A NEW COLOUR MORPH FOR ELACATINUS FIGARO, AN ENDEMIC THREATENED CLEANER",ATLANTIC SOUTH-EASTERN COAST,  BRAZILIAN ROCKY REEFS,  GOBIIDAE,"A new colour morph for Elacatinus figaro, an endemic threatened cleaner",10.1017/s175526721500069x,Dias,Marine Biodiversity Records,1,1
554,"DIAS TLP, 2015, MARINE BIODIVERSITY RECORDS",2015,FIRST RECORD OF CASSIS TUBEROSA SPAWNING IN THE WILD (NORTH-EAST BRAZIL),ALGAL FRONDS,  EGG LAYING,  KING HELMET,First record of Cassis tuberosa spawning in the wild (north-east Brazil),10.1017/s1755267215001050,Dias,Marine Biodiversity Records,1,1
572,DUARTE GAS 2020 FRONT MAR SCI,2020,HEAT WAVES ARE A MAJOR THREAT TO TURBID CORAL REEFS IN BRAZIL,CORAL MORTALITY MILLEPORA ALCICORNIS MASS BLEACHING TURBID REEFS CORAL REEFS GLOBAL WARMING DECLINE,CORAL REEFS ARE THREATENED BY CLIMATE CHANGE ON A GLOBAL SCALE WITH  THERMAL STRESS EVENTS AND MASS CORAL BLEACHING BEING WIDELY REPORTED.  THE REEFS OFF THE EAST COAST OF BRAZIL AND OTHER TURBID AREAS HAVE  HOWEVER HISTORICALLY ESCAPED SUCH THERMAL STRESS EVENTS WITH  RELATIVELY LOW LEVELS OF BACKGROUND CORAL MORTALITY 5-10\%. THIS HAS  RECENTLY CHANGED. HERE WE SHOW THAT IN 2019 DEGREE HEATING WEEKS DHW  OF 19.65 COINCIDED WITH CATASTROPHIC DECLINES IN CORAL COVER ESPECIALLY  IN THE MAJOR REEF BUILDING HYDROCORAL MILLEPORA ALCICORNIS. THE DECLINE  WAS DUE TO BLEACHING ASSOCIATED WITH EXPOSURE TO HIGH TEMPERATURE STRESS  CULMINATING IN DHW VALUES EXCEEDING 15 FOR A PERIOD OF 50 DAYS. AT TWO  INDEPENDENT SITES SURVEYS SHOWED UPWARDS OF 83.5 +/- 9.0 AND 89.1 +/-  3.9\% MORTALITY AND A THIRD SITE SHOWED RELATIVELY LOWER ALBEIT STILL  HIGH MORTALITY RATES OF 43.3 +/- 12.0\%. THE MASS DIE-OFF IN 2019 IS  UNPRECEDENTED IN THE SOUTH ATLANTIC REEFS AND COINCIDES WITH INCREASED  HEATING EVENTS.,DUARTE GAS 2020 FRONT MAR SCI,Heat Waves Are a Major Threat to Turbid Coral Reefs in Brazil,10.3389/fmars.2020.00179,Duarte,Frontiers in Marine Science,1,1
575,"DUARTE J, 2014, MARINE BIODIVERSITY RECORDS",2014,NEW RECORDS OF ALPHEID SHRIMPS (CRUSTACEA: DECAPODA: ALPHEIDAE) FROM THE SOUTHERN GULF OF MEXICO,ALPHEIDAE,  CAMPECHE BANK,  CARIDEA,New records of alpheid shrimps (Crustacea: Decapoda: Alpheidae) from the southern Gulf of Mexico,10.1017/s1755267214000773,Duarte,Marine Biodiversity Records,1,1
587,EDWARDS A 1983-a,1983,THE ECOLOGY OF SAINT PAUL'S ROCKS (EQUATORIAL ATLANTIC),,"St Paul's Rocks are a remote group of islets, barely 400 m across, in the equatorial midAtlantic ( 0 3 5 'N 29'2 I 'W). The results of a primarily zoological survey of the Rocks, carried out in September 1979 by the Cambridge Expedition to Saint Paul's Rocks, are reported. In addition, earlier studies of the Rocks'biology are discussed in the light of recent research. The terrestrial fauna is dominated by three species of sea-bird and a land crab. Also reported from on land are a few species of insects, ticks and spiders, an endemic pseudoscorpion, and a centipede; the majority of these species are associated with the seabirds. The islets are devoid of tracheophytes, bryophytes and lichens. The marine ecology of the Rocks is discussed with respect to habitat. Five habitats are distinguished in the supralittoral and littoral zones; the fauna and to a limited extent the flora of each is described. Sublittorally the Rocks consist almost entirely of steep escarpments extending to 60 m depth and beyond. The shallow sublittoral ( < 60 m deep) is divided into four habitats: ( I ) Palythoa zone; (2) Caulerpa zone; (3) sub-Caulerpa zone, and (4) areas of unstable substrates. The Pnlythoa zone occupies a band extending from the base of the littoral to a depth of c. 5 m and is dominated by a mat-forming hexacoral, Palythoa caribaeorum. Below this zone to a depth of c. 33 m the rock faces are thickly invested by a species of green-alga, Caulerpa racemosa. At depth this Caulerpa dominated zone is succeeded by an invertebrate dominated community. Unstable substrates are represented by a few pockets of coarse sand and some patches of rubble. The communities in each of these habitats are described. A primarily taxonomic review of the deep-water fauna is also included. Finally, the influence of ocean currents on the zoogeographical relationships of the Rocks' fauna is briefly examined.",,The ecology of Saint Paul's Rocks (Equatorial Atlantic),10.1111/j.1469-7998.1983.tb06108.x,Edwards,Journal of Zoology,1,1
588,EDWARDS A 1983,1983,Marine zoogeography of St Paul's Rocks,BIOGEOGRAPHY,"The zoogeographical relationships of the shallow water marine fauna of St Paul's Rocks (equatorial Atlantic) are examined with respect to ocean current patterns. Of seventy-seven benthic species considered, 46% are amphi-Atlantic, 14% occur at the central Atlantic islands of Ascension and/or St Helena as well as in either the eastern or western Atlantic, and 5% are endemic to the Rocks. Of the remaining twenty-seven species, 74% are shared only with the western Atlantic, 15% only with Ascension/St Helena, and 11% only with the eastern Atlantic. We deduce that the primary route of immigration for shallow water benthic species has been from Brazil, via the Atlantic Equatorial Undercurrent. Some input from Ascension Island and West Africa by means of the South Equatorial Current is also indicated. The zoogeographical composition of the St Paul's fauna is discussed in relation to current velccities and larval lifetimes. We conclude that St Paul's is essentially ail impoverished oceanic outpost of the Brazilian faunal province.",,Marine Zoogeography of St Paul's Rocks,10.2307/2844583,Edwards,Journal of Biogeography,1,1
594,ENDO CAK 2019 SCIENT REP,2019,Low connectivity compromises the conservation of reef fishes by marine protected areas in the tropical south Atlantic,,"the total spatial coverage of Marine protected Areas (MpA) within the Brazilian economic exclusive Zone (EEZ) has recently achieved the quantitative requirement of the Aichii Biodiversity Target 11. However, the distribution of MpA in the Brazilian eeZ is still unbalanced regarding the proportion of protected ecosystems, protection goals and management types. Moreover, the demographic connectivity between these MPA and their effectiveness regarding the maintenance of biodiversity are still not comprehensively understood. An individual-based modeling scheme coupled with a regional hydrodynamic model of the ocean is used to determine the demographic connectivity of reef fishes based on the widespread genus Sparisoma found in the oceanic islands and on the Brazilian continental shelf between 10� N and 23� S. Model results indicate that MPA are highly isolated due to extremely low demographic connectivity. Consequently, low connectivity and the long distances separating MPA contribute to their isolation. Therefore, the current MPA design falls short of its goal of maintaining the demographic connectivity of Sparisoma populations living within these areas. In an extreme scenario in which the MpA rely solely on protected populations for recruits, it is unlikely that they will be able to effectively contribute to the resilience of these populations or other reef fish species sharing the same dispersal abilities. Results also show that recruitment occurs elsewhere along the continental shelf indicating that the protection of areas larger than the current MpA would enhance the network, maintain connectivity and contribute to the conservation of reef fishes.",,Low connectivity compromises the conservation of reef fishes by marine protected areas in the tropical South Atlantic,10.1038/s41598-019-45042-0,Endo,Scientific Reports,1,1
602,EVANGELISTA H 2007 CLIMATE DYNAMICS,2007,Evidences linking ENSO and coral growth in the Southwestern-South Atlantic,,"Physical and biological changes in the marine environment induced by oceanic-atmospheric processes can be imprinted in massive coral skeletons. Herein we present an evidence of potential El Nino impacts at the Southwestern South Atlantic Ocean SWSA inferred from the sclerochronology of the reef coral Favia leptophylla. The application of spectral analysis wavelet decomposition and the iterative regression to coral growth length and to meteorological-oceanographic parameters air temperature sea surface temperature and precipitation as well as to Southern Oscillation Index SOI and solar irradiation indicated a major significant inverse relationship between SOI and coral growth length at the 4-8 years frequency band. We propose here that coral growth length from the SWSA could be affected by El Nino Southern Oscillation ENSO events through an ""atmospheric bridge"" in contrast to its direct effect at the Pacific Ocean related to the increase in sea surface temperature.",,Evidences linking ENSO and coral growth in the Southwestern-South Atlantic,10.1007/s00382-007-0271-8,Evangelista,Climate Dynamics,1,1
605,"EVANGELISTA H, 2007, ",2007,EVIDENCES LINKING ENSO AND CORAL GROWTH IN THE SOUTHWESTERN-SOUTH ATLANTIC,NA,"PHYSICAL AND BIOLOGICAL CHANGES IN THE MARINE ENVIRONMENT, INDUCED BY OCEANIC-ATMOSPHERIC PROCESSES, CAN BE IMPRINTED IN MASSIVE CORAL SKELETONS. HEREIN, WE PRESENT AN EVIDENCE OF POTENTIAL EL NINO IMPACTS AT THE SOUTHWESTERN SOUTH ATLANTIC OCEAN (SWSA) INFERRED FROM THE SCLEROCHRONOLOGY OF THE REEF CORAL FAVIA LEPTOPHYLLA. THE APPLICATION OF SPECTRAL ANALYSIS (WAVELET DECOMPOSITION AND THE ITERATIVE REGRESSION) TO CORAL GROWTH LENGTH AND TO METEOROLOGICAL-OCEANOGRAPHIC PARAMETERS (AIR TEMPERATURE, SEA SURFACE TEMPERATURE AND PRECIPITATION) AS WELL AS TO SOUTHERN OSCILLATION INDEX (SOI) AND SOLAR IRRADIATION INDICATED A MAJOR SIGNIFICANT INVERSE RELATIONSHIP BETWEEN SOI AND CORAL GROWTH LENGTH AT THE 4-8 YEARS FREQUENCY BAND. WE PROPOSE HERE THAT CORAL GROWTH LENGTH FROM THE SWSA COULD BE AFFECTED BY EL NINO SOUTHERN OSCILLATION (ENSO) EVENTS THROUGH AN ""ATMOSPHERIC BRIDGE"", IN CONTRAST TO ITS DIRECT EFFECT AT THE PACIFIC OCEAN, RELATED TO THE INCREASE IN SEA SURFACE TEMPERATURE.","EVANGELISTA H, 2007, ",Evidences linking ENSO and coral growth in the Southwestern-South Atlantic,10.1007/s00382-007-0271-8,Evangelista,Climate Dynamics,1,1
616,FEITOSA JLL & FERREIRA BP 2014 MAR ECOL,2014,Distribution and feeding patterns of juvenile parrotfish on algal-dominated coral reefs,Brazil, reef fish, Scaridae,Distribution and feeding patterns of juvenile parrotfish on algal-dominated coral reefs,10.1111/maec.12154,Feitosa,Marine Ecology,1,1
633,FERNANDO SC 2015 MICROB ECOL,2015,MICROBIOTA OF THE MAJOR SOUTH ATLANTIC REEF BUILDING CORAL MUSSISMILIA,NA BLACK BAND DISEASE BACTERIAL COMMUNITIES EASTERN BRAZIL RARE BIOSPHERE GUT MICROBIOTA WHITE SYNDROME DIVERSITY NICHE MUCUS TAXA,THE BRAZILIAN ENDEMIC SCLERACTINIAN CORALS GENUS MUSSISMILIA ARE AMONG  THE MAIN REEF BUILDERS OF THE SOUTH ATLANTIC AND ARE THREATENED BY  ACCELERATING RATES OF DISEASE. TO BETTER UNDERSTAND HOW HOLOBIONT  MICROBIAL POPULATIONS INTERACT WITH CORALS DURING HEALTH AND DISEASE AND  TO EVALUATE WHETHER SELECTIVE PRESSURES IN THE HOLOBIONT OR NEUTRAL  ASSEMBLY SHAPE MICROBIAL COMPOSITION WE HAVE EXAMINED THE MICROBIOTA  STRUCTURE OF MUSSISMILIA CORALS ACCORDING TO CORAL LINEAGE ENVIRONMENT  AND DISEASE/HEALTH STATUS. MICROBIOTA OF THREE MUSSISMILIA SPECIES  MUSSISMILIA HARTTII MUSSISMILIA HISPIDA AND MUSSISMILIA BRAZILIENSIS  WAS COMPARED USING 16S RRNA PYROSEQUENCING AND CLONE LIBRARY ANALYSIS OF  CORAL FRAGMENTS. ANALYSIS OF BIOLOGICAL TRIPLICATES PER MUSSISMILIA  SPECIES AND REEF SITE ALLOWED ASSESSMENT OF VARIABILITY AMONG  MUSSISMILIA SPECIES AND BETWEEN SITES FOR M. BRAZILIENSIS. FROM 173487  V6 SEQUENCES 6733 CORAL- AND 1052 WATER-ASSOCIATED OPERATIONAL  TAXONOMIC UNITS OTUS WERE OBSERVED. M. BRAZILIENSIS MICROBIOTA WAS  MORE SIMILAR ACROSS REEFS THAN TO OTHER MUSSISMILIA SPECIES MICROBIOTA  FROM THE SAME REEF. HIGHLY PREVALENT OTUS WERE MORE SIGNIFICANTLY  STRUCTURED BY CORAL LINEAGE AND WERE ENRICHED IN ALPHA- AND  GAMMAPROTEOBACTERIA. BACTERIAL OTUS FROM HEALTHY CORALS WERE RECOVERED  FROM A M. BRAZILIENSIS SKELETON SAMPLE AT TWICE THE FREQUENCY OF  RECOVERY FROM WATER OR A DISEASED CORAL SUGGESTING THE SKELETON IS A  SIGNIFICANT HABITAT FOR MICROBIAL POPULATIONS IN THE HOLOBIONT. DISEASED  CORALS WERE ENRICHED WITH PATHOGENS AND OPPORTUNISTS VIBRIOS  BACTEROIDETES THALASSOMONAS AND SRB. OUR STUDY EXAMINES FOR THE FIRST  TIME INTRA- AND INTER-SPECIFIC VARIABILITY OF MICROBIOTA ACROSS THE  GENUS MUSSISMILIA. CHANGES IN MICROBIOTA MAY BE USEFUL INDICATORS OF  CORAL HEALTH AND THUS BE A VALUABLE TOOL FOR CORAL REEF MANAGEMENT AND  CONSERVATION.,FERNANDO SC 2015 MICROB ECOL,Microbiota of the Major South Atlantic Reef Building Coral Mussismilia,10.1007/s00248-014-0474-6,Fernando,Microbial Ecology,1,1
656,FLOETER SR 2001 GLOB ECOL BIOGEOGR,2001,GEOGRAPHIC VARIATION IN REEF-FISH ASSEMBLAGES ALONG THE BRAZILIAN COAST,BRAZIL DISTRIBUTION PATTERNS DIVERSITY ENVIRONMENTAL FACTORS MACROECOLOGY OCEANIC ISLANDS REEF FISHES SOUTH ATLANTIC ZOOGEOGRAPHY NA,THE SPECIES COMPOSITION OF REEF-FISH ASSEMBLAGES FROM NINE BRAZILIAN  MAJOR COASTAL SITES AND FOUR OCEANIC ISLANDS ARE COMPARED. CANONICAL  CORRESPONDENCE ANALYSIS CCA WAS UTILIZED TO IDENTIFY GROUPS OF SITES  BASED ON SIMILARITY OF COMPOSITION AND TO CORRELATE ENVIRONMENTAL  TRENDS WITH SUCH GROUPS. FIVE DISTINCT GROUPS OF SITES WERE RECOGNIZED  1 THE SOUTH AND SOUTH-EASTERN COASTAL REEFS FROM GUARAPARI ISLANDS TO  SANTA CATARINA THE SOUTHERNMOST BRAZILIAN REEFS 2 THE NORTH-EASTERN  COAST EXTENDING FROM THE MANUEL LUIS REEFS TO ABROLHOS ARCHIPELAGO  3 TRINDADE ISLAND 4 FERNANDO DE NORONHA AND ATOL DAS ROCAS AND 5  ST PAUL'S ROCKS. WATER TEMPERATURE CORAL RICHNESS DISTANCE FROM  MAINLAND PRIMARY PRODUCTION AND SHELF WIDTH STRONGLY CORRELATED WITH  THE DIVERSITY AND COMPOSITION OF THE REEF SITES.,FLOETER SR 2001 GLOB ECOL BIOGEOGR,Geographic variation in reef-fish assemblages along the Brazilian coast,10.1046/j.1466-822x.2001.00245.x,Floeter,Global Ecology and Biogeography,1,1
658,FLOETER SR 2006 BIOL CONSERV,2006,EFFECTS OF FISHING AND PROTECTION ON BRAZILIAN REEF FISHES,REEF FISHERIES BRAZIL MARINE PROTECTED AREAS RESERVES OVERFISHING PATTERNS MARINE SIZE COMMUNITIES ECOSYSTEMS MANAGEMENT,THE VAST BRAZILIAN COAST HARBORS UNIQUE AND DIVERSE REEF FISH  COMMUNITIES. UNFORTUNATELY RELATIVELY LITTLE IS KNOWN ABOUT THE IMPACT  OF FISHING ON THESE FISH SPECIES AND FEW MANAGEMENT OR CONSERVATION  EFFORTS ARE BEING MADE TO PROTECT THEM. HERE WE EXAMINE THE EFFECT OF  DIFFERENT LEVELS OF PROTECTION ON THE COMPOSITION ABUNDANCE AND SIZE  STRUCTURE OF REEF FISH SPECIES ALONG A 2500 KM PORTION OF THE BRAZILIAN  COASTLINE NOTING IN PARTICULAR THE RELATIVE ABUNDANCE OF ENDEMICS AND  THE EFFECT OF PROTECTION ON THESE SPECIES. PAIRWISE COMPARISONS OF SITES  WITH DIFFERENT PROTECTION STATUS MORE VERSUS LESS PROTECTED WERE USED  TO DETERMINE THE POTENTIAL RESPONSES OF REEF FISHES TO THE ESTABLISHMENT  OF MARINE PROTECTED AREAS. HIGHLY TARGETED SPECIES TOP PREDATORS AND  LARGE HERBIVORES WERE SIGNIFICANTLY MORE ABUNDANT AND LARGER IN SIZE  WITHIN SITES WITH A HIGHER DEGREE OF PROTECTION INDICATING THAT THEY  BENEFIT FROM PROTECTION WHILE LIGHTLY FISHED AND UNFISHED SPECIES WERE  NOT. THESE RESULTS ARE CONSISTENT WITH PAST WORK DOCUMENTING THE  RESPONSES OF SPECIES TO PROTECTION. HERE WE USE OUR RESULTS IN  PARTICULAR TO SUGGEST STRATEGIES AND PROVIDE EXPECTATIONS FOR MANAGING  AND PROTECTING BRAZILIAN REEF FISHERIES. BECAUSE THIS BIOGEOGRAPHIC  PROVINCE LIES ENTIRELY WITHIN THE JURISDICTION OF A SINGLE NATION THERE  MAY BE UNIQUE AND SIGNIFICANT OPPORTUNITIES TO EFFECTIVELY MANAGE AND  CONSERVE THESE FISH SPECIES. ,FLOETER SR 2006 BIOL CONSERV,Effects of fishing and protection on Brazilian reef fishes,10.1016/j.biocon.2005.10.005,Floeter,Biological Conservation,1,1
