;X;PY;TI;DE;AB;SR;DI;;;;;;;;;;;;;;;;;;
1485;PESSOA CRM, 2011, POISONING BY PLANTS, MYCOTOXINS, AND RELATED TOXINS;2011;RECENTLY DIAGNOSED POISONOUS PLANTS IN THE CARIRI REGION, STATE OF PARAIBA, BRAZIL;NA;NA;PESSOA CRM, 2011, POISONING BY PLANTS, MYCOTOXINS, AND RELATED TOXINS;NA;;;;;;;;;;;;;;;;;;
1487;KIKUCHI RKP, 2010, REV BIOL TROP;2010;CONSERVATION STATUS AND SPATIAL PATTERNS OF AGRRA VITALITY INDICES IN SOUTHWESTERN ATLANTIC REEFS;EASTERN BRAZIL;;;;;;;;;;;;;;;;;;;;;
1490;BARROS-BARRETO MBB, 2009, PHYCOLOGIA;2009;PHYLOGENY OF THE RED ALGAL TRIBE CERAMIEAE CONFIRMS EXTENSIVE MORPHOLOGICAL HOMOPLASY;NA;NA;BARROS-BARRETO MBB, 2009, PHYCOLOGIA;NA;;;;;;;;;;;;;;;;;;
1491;MANGINI A, 2009, GEOCHIM COSMOCHIM ACTA;2009;DEEP SEA CORALS OFF BRAZIL VERIFY A REDUCTION OF NADW FORMATION DURING H2, H1 AND THE YD;NA;NA;MANGINI A, 2009, GEOCHIM COSMOCHIM ACTA;NA;;;;;;;;;;;;;;;;;;
1496;FEDRIZZI CE, 2007, REV BRAS ORNITOL;2007;WESTERN REEF-HERON EGRETTA GULARIS IN BRAZIL (CICONIIFORMES: ARDEIDAE);ARDEIDAE;;;;;;;;;;;;;;;;;;;;;
1528;VERHOEF LGW, 2006, PROCEEDINGS OF THE THIRD INTERNATIONAL SYMPOSIUM ON RESTORATION WORLD HERITAGE SITE OLINDA IN BRAZIL: PROPOSALS FOR INTERVENTION;2006;THE USE OF THE ARTIFICIAL REEF AT OLINDA FOR LEISURE;NA;MUNICIPAL AUTHORITIES IN THE STATE OF PERNAMBUCO OF BRAZIL ARE HAVING SERIOUS PROBLEMS DUE TO COASTAL EROSION. A NUMBER OF ARTIFICIAL REEFS HAVE BEEN BUILT IN THE OCEAN IN FRONT OF THE COAST OF PERNAMBUCO AND IN FRONT OF OLINDA AS WELL. FOR A CERTAIN PART OF THIS COAST, SECTION 2, OPPOSITE PRAGA DO CARMO, FORTE SAO FRANCISCO AND FAROL DE OLINDA THIS PAPER SHOWS HOW THIS AREA CAN BE USED FOR LEISURE. THE IDEA BEHIND THIS APPROACH IS TO ATTRACK TOURISTS AND BUSINESSMEN FOR A LONGER STAY IN OLINDA AND TO OFFER THEM MORE THAN THE HISTORIC SCENE OF OLINDA. THE PAPER SHOWS FURTHER THE ACTIONS TO BE TAKEN SUCH AS THE EXTENSION OF THE REEF TILL THE SHORE, THUS FORMING A LAGOON WITH A GUARANTEED HEALTHY SWIMMING WATER CONDITIONS, BUT ALSO HOW THE INFRASTRUCTURE HAS TO BE CHANGED NECESSARY FOR THE ERECTION OF NEW HOTELS FULFILLING A PERFORMANCE THAT FITS TO THE HISTORIC CITY OF OLINDA.;VERHOEF LGW, 2006, PROCEEDINGS OF THE THIRD INTERNATIONAL SYMPOSIUM ON RESTORATION WORLD HERITAGE SITE OLINDA IN BRAZIL: PROPOSALS FOR INTERVENTION;NA;;;;;;;;;;;;;;;;;;
1529;LOIOLA LL, 2005, ZOOTAXA;2005;TANACETIPATHES OPRESKO, 2001 (CNIDARIA : ANTIPATHARIA : MYRIOPATHIDAE) FROM BRAZIL, INCLUDING TWO NEW SPECIES;CNIDARIA;;;;" BRAZIL"",""THE STUDY OF MATERIAL OBTAINED THROUGH DREDGING FROM OFF BRAZIL, IN STATIONS BETWEEN SALVADOR ( 13 S) AND THE CAPE OF SAO TOME (22 DEGREES S), AND THROUGH SCUBA DIVING AT THE ABROLHOS REEFS (18 DEGREES S) REVEALED SIX SPECIES OF TANACETIPATHES OPRESKO, 2001. TWO OF THESE REPRESENT NEW SPECIES: T. LONGIPINNULA AND T. THALASSOROS. TANACETIPATHES BARBADENSIS ( BROOK, 1889), T. HIRTA ( GRAY, 1857), AND T. THAMNEA ( WARNER, 1981) REPRESENT FIRST RECORDS FROM THE SOUTH ATLANTIC. TANACETIPATHES TANACETUM (POURTALS, 1880) HAS BEEN PREVIOUSLY RECORDED OFF BRAZIL AND IT IS PROBABLY THE COMMONEST SPECIES OFF SOUTHEASTERN BRAZIL. TANACETIPATHES PAULA PEREZ ET AL., 2005, IS HERE CONSIDERED A SYNONYM OF T. THAMNEA. AN IDENTIFICATION KEY TO TANACETIPATHES SPECIES IS INCLUDED ALONG WITH ILLUSTRATIONS OF COLONIES, AND A MAP OF THE GENUS DISTRIBUTION OFF BRAZIL, BETWEEN 13 DEGREES AND 22 DEGREES S."",""LOIOLA LL, 2005, ZOOTAXA"",NA";;;;;;;;;;;;;;;;;
1539;FEITOZA BM, 2005, BULL MAR SCI;2005;ECOLOGY AND ZOOGEOGRAPHY OF DEEPREEF FISHES IN NORTHEASTERN BRAZIL;NA;WITH THE ADVENT OF SCUBA, THE REEF FISH FAUNA HAS BEEN SUBSTANTIALLY STUDIED AROUND THE WORLD, BUT THE GREAT MAJORITY OF IN SITU STUDIES HAVE FOCUSED EXCLUSIVELY ON A LIMITED PORTION OF THIS FAUNA, TO DEPTHS OF < 30 M. THE PRESENT STUDY REPRESENTS THE FIRST SCUBA- BASED SURVEY OF THE DEEP REEF FISHES OFF THE BRAZILIAN COAST BETWEEN 35 AND 70 M. A SPECIES LIST WAS COMPILED BASED ON VISUAL OBSERVATIONS, COLLECTIONS, VIDEO RECORDING, AND FISHES OBTAINED FROM COMMERCIAL FISHING BOATS. A TOTAL OF 158 FISH SPECIES BELONGING TO 49 FAMILIES WAS RECORDED. THIRTY-TWO SPECIES WERE FORMALLY RECORDED FOR THE FIRST TIME FROM THE STUDY AREA, FOUR OF WHICH [APOGON ROBBYI GILBERT, 1997;;;;;;;;;;;;;;;;;;;;
1540;BRUCKNER AW, 2005, REV BIOL TROP;2005;THE IMPORTANCE OF THE MARINE ORNAMENTAL REEF FISH TRADE IN THE WIDER CARIBBEAN;AQUARIUM FISHES;;;;;;;;;;;;;;;;;;;;;
1542;PEREZ CD, 2005, ZOOTAXA;2005;A NEW SPECIES OF TANACETIPATHES FROM BRAZIL, WITH A REDESCRIPTION OF THE TYPE SPECIES T-TANACETUM (POURTALES) (CNIDARIA, ANTHOZOA, ANTIPATHARIA);MYRIOPATHIDAE;;;;;;;;;;;;;;;;;;;;;
1548;ACOSTA A, 2005, BULL MAR SCI;2005;NEW FISSION PROCESSES IN THE ZOANTHID PALYTHOA CARIBAEORLIM: DESCRIPTION AND QUANTITATIVE ASPECTS;NA;POPULATIONS OF THE ZOANTHID PALYTHOA CARIBAEORUM (DUCHASSAING AND MICHELOTTI, 1861) WERE MONITORED IN A 2-YR STUDY AT SEVERAL SITES ON THE SAO PAULO COAST, BRAZIL, TO DESCRIBE, QUANTIFY, AND COMPARE FISSION PROCESSES OCCURRING IN MODERATELY VS. HIGHLY STRESSED ENVIRONMENTS. THE EFFECTS OF DEPTH AND SEASON WERE ALSO CONSIDERED. PALYTHOA CARIBAEORUM WAS FOUND TO REPRODUCE BY TWO NEW GENERAL PROCESSES OF FISSION. THE FIRST PROCESS REQUIRES: A) THE FORMATION OF CREVICES THROUGHOUT THE COLONY AND THE MAINTENANCE OF BASAL COENENCHYME THROUGHOUT;;;;;;;;;;;;;;;;;;;;
1553;GUIMARAES RZP, 2004, ZOOTAXA;2004;A NEW CLEANER GOBY OF THE GENUS ELACATINUS (TELEOSTEI : GOBIIDAE), FROM TRINDADE ISLAND, OFF BRAZIL;WESTERN SOUTH ATLANTIC;;;;" GOBIIDAE"",""ELACATINUS PRIDISI N. SP., A CLEANER GOBY FROM TRINDADE ISLAND, OFF BRAZIL, DIFFERS FROM ITS CONGENERS OF THE HORSTI COMPLEX THAT HAVE A PALE STRIPE EXTENDING FROM THE EYE TO THE CAUDAL FIN BASE BY THE FOLLOWING COMBINATION OF CHARACTERS: DARK LONGITUDINAL STRIPE WIDE, REACHING LOWER ABDOMEN AND BASE OF ANAL FIN (VS. NEVER REACHING LOWER ABDOMEN OR BASE OF ANAL FIN IN ALL OTHER SPECIES)"; PECTORAL-FIN RAYS TYPICALLY 18 (VS. TYPICALLY 17 IN E. RANDALLI (BOHLKE \& ROBINS) AND E. FIGARO SAZIMA ET AL. AND TYPICALLY 16 IN E. ATRONASUM (BOHLKE ROBINS)); ANAL-FIN RAYS TYPICALLY 11 (VS. TYPICALLY 10 IN E. FIGARO);" A PALE OVAL SPOT PRESENT ON SNOUT (VS. NO SPOT IN E. ATRONASUM AND E. HORSTI (BOHLKE \& ROBINS), A ``V''-SHAPED SPOT IN E. PROCHILOS (BOHLKE \& ROBINS), AND A MEDIAL BAR IN E. XANTHIPRORA (BOHLKE \& ROBINS), E. LOUISAE (BOHLKE \& ROBINS) AND E. LORI COLIN). THE NEW SPECIES WAS RECORDED IN DEPTHS RANGING FROM 3 TO 30 M, OVER ROCKY REEFS AND CALCAREOUS-ALGAE BANKS AROUND THE ISLAND. IT HAS BEEN OBSERVED IN CLEANING ACTIVITIES DURING THE DAY WITH CLIENTS VARYING FROM LARGE-SIZED CARNIVORES SUCH AS CARCHARHINUS PEREZI (POEY) TO SMALL-SIZED PLANKTIVORES SUCH AS CHROMIS MULTILINEATA (GUICHENOT). THE DISCOVERY OF THE NEW SPECIES REINFORCES RECOGNITION OF THE TRINDADE-MARTIN VAZ INSULAR COMPLEX AS AN AREA OF ENDEMISM IN THE ATLANTIC OCEAN."",""GUIMARAES RZP, 2004, ZOOTAXA"",NA";;;;;;;;;;;;;;
1561;RIBEIRO SM, 2004, ZOOTAXA;2004;FOUR NEW SYMPATRIC SPECIES OF TETHYA (DEMOSPONGIAE : HADROMERIDA) FROM AROLHOS ACHIPELAGO (BAHIA STATE, BAZIL);PORIFERA;;;; BRAZIL;" ABROLHOS ARCHIPELAGO"",""FOUR NEW SPECIES OF TETHYA ARE DESCRIBED FROM CORAL REEFS IN ABROLHOS ARCHIPELAGO ( BRAZIL). TETHYA BRASILIANA SP. NOV. IS GREEN OR YELLOW EXTERNALLY, YELLOWISH ORANGE INTERNALLY, AND ITS MICRASTERS ARE STRONGYLASTERS, MICROSPHERASTERS AND MICROOXYASTERS. TETHYA CYANAE SP. NOV. IS DARK BLUE EXTERNALLY";" ITS MICRASTERS ARE TYLASTERS, OXYASTERS AND MICROOXYASTERS. TETHYA IGNIS SP. NOV. IS ORANGE EXTERNALLY AND INTERNALLY, AND ITS MICRASTERS ARE TYLASTERS AND COMPLETELY MICROSPINED OXYASTERS. TETHYA RUBRA SP. NOV. IS RED OR YELLOW EXTERNALLY, AND IT HAS TYLASTERS AND OXYASTERS WITH BRANCHED AND TWISTED RAYS. SCANNING ELECTRON MICROSCOPY OF MICROSCLERES WAS ESSENTIAL FOR DISTINCTION OF BRAZILIAN SPECIES OF TETHYA. THE DIVERSITY OF TETHYA FROM THE BRAZILIAN COAST HAS INCREASED FROM FIVE TO NINE SPECIES. ABROLHOS ARCHIPELAGO HARBORS THE GREATEST DIVERSITY OF TETHYA IN THE ATLANTIC, WITH FOUR SPECIES, THREE OF WHICH ARE PROVISIONAL ENDEMICS."",""RIBEIRO SM, 2004, ZOOTAXA"",NA";;;;;;;;;;;;;;;
1566;OIGMAN-PSZCZOL SS, 2004, BULL MAR SCI;2004;SIZE STRUCTURE AND SPATIAL DISTRIBUTION OF THE CORALS MUSSISMILIA HISPIDA AND SIDERASTREA STELLATA (SCLERACTINIA) AT ARMACAO DOS BUZIOS, BRAZIL;NA;FEW STUDIES HAVE DESCRIBED THE POPULATION STRUCTURE OR SPATIAL DISTRIBUTION OF CORALS ON BRAZILIAN ROCKY SHORES. WE PRESENT THE FIRST QUANTITATIVE STUDY OF POPULATIONS OF TWO CORALS AT ELEVEN SITES AT ARMACAO DOS BUZIOS BY INVESTIGATING THE SIZE STRUCTURE AND SPATIAL DISTRIBUTION OF MUSSISMILIA HISPIDA (VERRILL, 1902) AND SIDERASTREA STELLATA VERRIL, 1868. THEIR PERCENTAGE COVER AND DENSITY WERE ESTIMATED AND COLONY SIZE WAS MEASURED USING A SIZE INDEX BASED ON COLONY ARC, LENGTH, AND WIDTH. BOTH SPECIES OCCURRED IN THE SAME DEPTH INTERVALS AND SHOWED SIMILAR PATTERNS WITH DEPTH. SIDERASTREA STELLATA WAS USUALLY MORE ABUNDANT THAN M. HISPIDA AND SHOWED SITE-SPECIFIC PATTERNS. THE COLONY SIZE STRUCTURE OF BOTH SPECIES WAS GENERALLY SKEWED TO THE RIGHT. ONE SITE, TARTARUGA R, STOOD OUT BECAUSE OF THE LARGE SIZE OF THE CORALS AND THE FACT THAT S. STELLATA COLONIES FUSED, FORMING A CONTINUOUS CARBONATE STRUCTURE. ALTHOUGH ROCKY SHORES ARE EXPECTED TO HAVE LOWER ABUNDANCE OF CORALS THAN CORAL REEFS, ONE SPECIES (S. STELLATA), A REEF BUILDING CORAL ENDEMIC TO BRAZIL, WAS EXTREMELY ABUNDANT ON BUZIOS' ROCKY SHORES. ARMACAO DOS BUZIOS WAS CONSIDERED AN ECOLOGICALLY IMPORTANT SITE FOR CORAL GROWTH IN BRAZIL.;OIGMAN-PSZCZOL SS, 2004, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1571;DE PAULA AF, 2004, BULL MAR SCI;2004;TWO SPECIES OF THE CORAL TUBASTRAEA (CNIDARIA, SCLERACTINIA) IN BRAZIL: A CASE OF ACCIDENTAL INTRODUCTION;NA;ALTHOUGH SCLERACTINIAN CORALS HAVE BEEN DESCRIBED FOR THE BRAZILIAN COAST AND DESPITE THE FACT THAT THE GENUS TUBASTRAEA LESSON 1829 (SCLERACTINIA: DENDROPHYLLIIDAE) IS A VERY COMMON AHERMATYPIC AZOOXANTHELLATE CORAL WITH A WIDE GEOGRAPHICAL DISTRIBUTION IN THE WORLD, IT HAS NOT, UNTIL RECENTLY, BEEN REPORTED FROM BRAZIL. THEREFORE, THIS CORAL IS INTERPRETED AS A NON-INDIGENOUS GENUS TO THE SOUTH ATLANTIC, PROBABLY ARRIVING IN BRAZIL IN THE LATE 1980S. THE PRESENT STUDY RE-DESCRIBES AND COMPARES TWO SPECIES OF THE GENUS, TUBASTRAEA COCCINEA LESSON, 1829 AND TUBASTRAEA TAGUSENSIS WELLS, 1982 FROM THE ROCKY SHORES OF ILHA GRANDE BAY, ANGRA DOS REIS, BRAZIL. THESE CORALS ARE FOUND ON PROTECTED, SHALLOW-WATER ROCKY SHORES. OF THE SIX SPECIES OF GENUS TUBASTRAEA THAT ARE KNOWN, T COCCINEA IS THE MOST COMMON SPECIES IN TROPICAL REGIONS, WHILE T TAGUSENSIS WAS PREVIOUSLY KNOWN ONLY FROM THE GALDPAGOS ARCHIPELAGO. ILHA GRANDE BAY IS A SITE WITH SHIPPING TRAFFIC (SHIPS AND OIL PLATFORMS), WHICH PROBABLY BROUGHT THESE CORALS TO THE REGION. RESULTS OF THIS STUDY EXPAND THE REPORTED DISTRIBUTION OF THIS GENUS IN THE WORLD.;DE PAULA AF, 2004, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1572;SAZIMA C, 2004, CYBIUM;2004;THE MOVING GARDENS: REEF FISHES GRAZING, CLEANING, AND FOLLOWING GREEN TURTLES IN SW ATLANTIC;ACANTHURIDAE;;;;;;;;;;;;;;;;;;;;;
1578;SPONAUGLE S, 2004, PROCEEDINGS OF THE FIFTY-FIFTH ANNUAL GULF AND CARIBBEAN FISHERIES INSTITUTE;2004;GROWTH IN A VARIABLE PELAGIC ENVIRONMENT: THE IMPACT OF CURRENT RINGS ON REEF FISH LARVAE;CURRENT RINGS;;;;;;;;;;;;;;;;;;;;;
1582;NOGUEIRA JMD, 2003, SCI MAR;2003;A NEW SPECIES OF PARAEUPOLYMNIA YOUNG AND KRITZLER, 1986 (POLYCHAETA : TEREBELLIDAE : TEREBELLINAE) FROM BRAZIL;POLYCHAETA;;;;;;;;;;;;;;;;;;;;;
1583;DE BARROS MML, 2003, BULL MAR SCI;2003;SEXUAL REPRODUCTION OF THE BRAZILIAN REEF CORAL SIDERASTREA STELLATA VERRILL 1868 (ANTHOZOA, SCLERACTINIA);NA;IN THE PRESENT STUDY, THE REPRODUCTIVE CHARACTERISTICS OF THE BRAZILIAN ENDEMIC CORAL SIDERASTREA STELLATA VERRILL, 1868, WERE DETERMINED FOR THE ABROLHOS REEF COMPLEX (18DEGREESS) AND BUZIOS (23DEGREESS). THE REPRODUCTIVE PATTERN AND MODE OF REPRODUCTION, SEX RATIO, GAMETOGENESIS AND SPAWNING SEASON WERE DETERMINED BY HISTOLOGICAL EXAMINATION. SIDERASTREA STELLATA WAS FOUND TO BE A GONOCHORIC BROODER AND OOGENESIS LASTED APPROXIMATELY TEN MONTHS. SPAWNING OCCURRED DURING FEBRUARY THROUGH THE MID-MARCH IN THE ABROLHOS REEF COMPLEX, AND DECEMBER TO EARLY JANUARY IN BUZIOS. SEA TEMPERATURE IS MOST LIKELY THE MAJOR FACTOR INFLUENCING THE GAMETOGENESIS OF THIS SPECIES AND THIS LATITUDINAL VARIATION WAS PROBABLY RELATED TO THE UPWELLING THAT OCCURS ON BUZIOS DURING THE SUMMER. OOCYTE AND LARVAL CHARACTERISTICS INDICATED A RELATIVELY SHORT DISPERSION PHASE SUCH THAT LARVAE SETTLE NEAR THE PARENT HABITAT. THESE DATA MAY BE USEFUL FOR IMPROVING CONSERVATION AND MANAGEMENT POLICIES FOR BRAZILIAN CORAL REEFS.;DE BARROS MML, 2003, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1587;NOGUEIRA JMD, 2003, J MAR BIOL ASSOC U K;2003;ARTICULATIA, A NEW GENUS OF TEREBELLINAE (POLYCHAETA : TEREBELLIDAE) LIVING IN BRAZILIAN CORALS;NA;A NEW GENUS OF TEREBELLID POLYCHAETES IS DESCRIBED, FROM MATERIAL COLLECTED FROM LIVING COLONIES OF A STONY CORAL (MUSSISMILIA HISPIDA) IN THE STATE OF SAO PAULO, SOUTH-EASTERN BRAZIL. ARTICULATIA IS CHARACTERIZED BY POSSESSING NOTOPODIA FROM SEGMENT 5, NEUROPODIA FROM SEGMENT 5 OR 6 WITH DOUBLE ROWS OF UNCIM FROM SEGMENT 7 UNTIL NEAR PYGIDIUM. UP TO SEGMENT TEN, NOTOPODIA WITH BILIMBATE CAPILLARIES;;;;;;;;;;;;;;;;;;;;
1594;HU GR, 2003, MYCOTAXON;2003;THE LICHEN FAMILY PHYSCIACEAE (ASCOMYCOTA) IN CHINA VI. THE GENUS PYXINE;NEW RECORDS;;;;;;;;;;;;;;;;;;;;;
1595;CARNEIRO PEREIRA LC, 2003, J COAST RES;2003;EFFECTS OF SEDIMENTATION ON SCLERACTINIAN AND ACTINIAN SPECIES IN ARTIFICIAL REEFS AT THE CASA CAIADA BEACH (BRAZIL);SEDIMENTATION;;;;;;;;;;;;;;;;;;;;;
1600;SAZIMA I, 2003, BULL MAR SCI;2003;THE CETACEAN OFFAL CONNECTION: FECES AND VOMITS OF SPINNER DOLPHINS AS A FOOD SOURCE FOR REEF FISHES;NA;AT FERNANDO DE NORONHA ARCHIPELAGO, SOUTHWEST ATLANTIC, REEF FISHES ASSOCIATED WITH SPINNER DOLPHINS (STENELLA LONGIROSTRIS) WERE RECORDED WHEN THE CETACEANS CONGREGATED IN A SHALLOW INLET. IN THE REEF WATERS THE DOLPHINS ENGAGED IN SEVERAL BEHAVIORS SUCH AS RESTING, AERIAL DISPLAYS AND OTHER SOCIAL INTERACTIONS, AS WELL AS ELIMINATIVE BEHAVIORS SUCH AS DEFECATING AND VOMITING. TWELVE FISH SPECIES IN SEVEN FAMILIES WERE RECORDED FEEDING ON DOLPHIN OFFAL. THE BLACK DURGON (MELICHTHYS NIGER) WAS THE MOST UBIQUITOUS WASTE-EATER, AND ITS GROUP SIZE WAS POSITIVELY AND SIGNIFICANTLY CORRELATED WITH DOLPHIN GROUP SIZE. THE DURGONS RECOGNIZED THE POSTURES A DOLPHIN ADOPTS PRIOR TO DEFECATING OR VOMITING, AND BEGAN TO CONVERGE TO AN INDIVIDUAL SHORTLY BEFORE IT ACTUALLY VOIDED. OFFAL WAS QUICKLY FED UPON, AND THE FISHES CONCENTRATED IN THE AREA OCCUPIED BY THE DOLPHINS UNTIL THE LATTER LEFT THE SHALLOWS. SINCE ALL THE RECORDED OFFAL-FEEDING SPECIES FEED ON PLANKTON OR DRIFTING ALGAE, FEEDING ON CETACEAN DROPPINGS MAY BE REGARDED AS A SWITCH FROM FORAGING ON DRIFTING ORGANISMS TO FORAGING ON DRIFTING OFFAL, A PREDICTABLE FOOD SOURCE IN THE INLET. FURTHER INSTANCES OF THIS CETACEAN-FISH ASSOCIATION ARE PREDICTED TO OCCUR AT SITES WHERE THESE MAMMALS CONGREGATE OVER REEFS WITH CLEAR WATER AND PLANKTON-EATING FISHES.;SAZIMA I, 2003, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1605;AMARAL FD, 2002, PROC BIOL SOC WASH;2002;SKELETAL MORPHOMETRY OF MILLEPORA OCCURRING IN BRAZIL, INCLUDING A PREVIOUSLY UNDESCRIBED SPECIES;NA;THE AIMS OF THIS STUDY WERE TO IDENTIFY THE SPECIES OF MILLEPORA OCCURRING IN BRAZIL AND COMPARE THE SKELETAL MORPHOLOGY OF M. BRAZILIENSIS FROM BRAZIL AND M. SQUARROSA FROM THE CARIBBEAN (TO ADDRESS CONFUSION OVER THEIR SYNONYMY). ONE HUNDRED AND THREE COLONIES OF MILLEPORA WERE COLLECTED FROM VARIOUS SITES ALONG THE BRAZILIAN COAST. IN AN ATTEMPT TO FACILITATE DELINEATION AMONG SPECIES, DIAMETERS OF THE GASTROPORES AND DACTYLOPORES WERE COMPARED IN ADDITION TO OTHER MORPHOLOGICAL CHARACTERS. WE PROPOSED THAT THE COLONIES COLLECTED FROM BRAZIL COMPRISED FOUR SPECIES: M. ALCICORNIS (34 COLONIES), M. BRAZILIENSIS (45), M. NITIDA (13), AND ONE PREVIOUSLY UNDESCRIBED SPECIES (11). ANALYSES OF VARIANCE OF THE DIAMETERS OF GASTROPORES AND DACTYLOPORES AMONG THE VARIOUS SPECIES SHOWED CONSIDERABLE INTRA-SPECIFIC VARIABILITY AND SOME INTER-SPECIFIC SPATIAL VARIATION. AT THE ABROLHOS ISLANDS, SIGNIFICANT DIFFERENCES WERE DETECTED BETWEEN M. ALCICORNIS, M. BRAZILIENSIS AND M. NITIDA FOR THE MEAN DIAMETER OF THE DACTYLOPORES, BUT NOT THE GASTROPORES. IN CONTRAST, SIGNIFICANT DIFFERENCES IN MEAN DIAMETER OF THE GASTROPORES WERE DETECTED BETWEEN M. BRAZILIENSIS AND M. ALCICORNIS ACROSS THREE OTHER LOCATIONS. WE HYPOTHESIZED THAT CARIBBEAN M. SQUARROSA IS A SPECIES DISTINCT FROM M. BRAZILIENSIS, ALTHOUGH THE USE OF MOLECULAR SYSTEMATICS MAY BE REQUIRED TO ELIMINATE DOUBTS ABOUT THEIR SYNONYMY.;AMARAL FD, 2002, PROC BIOL SOC WASH;NA;;;;;;;;;;;;;;;;;;
1613;ECHEVERRIA CA, 2002, REV BIOL TROP;2002;BLACK CORALS (CNIDARIA : ANTHOZOA : ANTIPATHARIA): FIRST RECORDS AND A NEW SPECIES FROM THE BRAZILIAN COAST;CORALS;;;;;;;;;;;;;;;;;;;;;
1616;NOGUEIRA JMD, 2002, PROC BIOL SOC WASH;2002;ASCLEROCHEILUS TROPICUS BLAKE, 1981 (POLYCHAETA : SCALIBREGMATIDAE): REDESCRIPTION BASED ON BRAZILIAN SPECIMENS;NA;ASCLEROCHEILUS TROPICUS BLAKE, 1981 IS REDESCRIBED, BASED ON BRAZILIAN SPECIMENS FOUND IN LIVING COLONIES OF A STONY CORAL AROUND ISLANDS OFF THE COAST OF THE STATE OF S (A) OVER TILDEO PAULO, SOUTHEASTERN BRAZIL. THIS SPECIES, PREVIOUSLY KNOWN FROM ONE SPECIMEN COLLECTED IN ECUADOR, SHOWS CONSIDERABLE VARIATION OF CHARACTERS CONSIDERED VERY IMPORTANT FOR THE TAXONOMY OF THE GENUS, SUCH AS THE SHAPE OF PROSTOMIUM AND EYES. VARIABLE FEATURES WITHIN THIS SPECIES AND SIZE-DEPENDENT CHARACTERS ARE DISCUSSED. THIS STUDY IMPROVES THE KNOWLEDGE NOT ONLY OF THIS PARTICULAR TAXON BUT ALSO ABOUT THE POSSIBILITY OF VARIATION IN RELATED TAXA.;NOGUEIRA JMD, 2002, PROC BIOL SOC WASH;NA;;;;;;;;;;;;;;;;;;
1618;COUTINHO AF, 2002, HETEROCYCLES;2002;ANTI HSV-1 ALKALOIDS FROM A FEEDING DETERRENT MARINE SPONGE OF THE GENUS AAPTOS;NA;THE CRUDE EXTRACT FROM THE MARINE SPONGE AAPTOS SP. COLLECTED IN ABROLHOS, BAHIA, BRAZIL, WAS UNPALATABLE TO A NATURAL ASSEMBLAGE OF REEF FISHES. PRELIMINARY ASSAYS ALSO INDICATED THE PRESENCE OF ANTI HSV-1 COMPOUNDS IN THIS CRUDE MIXTURE. SUCCESSIVE CHROMATOGRAPHIC PURIFICATION AFFORDED A NEW ALKALOID, 8,9-DIMETHOXY-4-METHYL-4H-BENZO[DE][1,6]NAPHTHYRIDINE (2,4-METHYLAAPTAMINE) AND THE KNOWN DEMETHYLOXYAAPTAMINE (1), WHICH STRUCTURES WERE DETERMINED MAINLY BY 1 D AND 2D NMR. BOTH COMPOUNDS SHOWED POTENT ANTIVIRAL ACTIVITY AGAINST HERPES SIMPLEX VIRUS TYPE 1 AND LOW TOXICITY TO VERO CELLS, SUGGESTING THAT THEY MAY BE SELECTIVELY TARGETS TO INHIBIT VIRUS REPLICATION.;COUTINHO AF, 2002, HETEROCYCLES;NA;;;;;;;;;;;;;;;;;;
